mensaje_id,codif_macro_1,codif_macro_2,codif_micro_1,codif_micro_2
TW_25790,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
FB_8384,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_13446,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_24805,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_8829,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial)
FB_1381,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_19583,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_4064,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_10237,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_22439,C. Politics,C. Politics,5b. Ataque (global),5b. Ataque (global)
TW_18961,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
TW_14516,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_2501,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial)
TW_23721,A. Programático,C. Politics,1a. Programática - Postura,6a. Referencia positiva (cand. presidencial)
TW_24786,D. Otros,D. Otros,8. Interacción con usuarios | 6f. Referencia positiva (otros),8. Interacción con usuarios | 7a. Personal (trivial)
TW_22760,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial) | 10. Aparición en medios
FB_9019,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_10841,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
FB_631,A. Programático,C. Politics,1a. Programática - Postura,6f. Referencia positiva (otros)
TW_9716,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_23704,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña
TW_4997,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),5a. Ataque (personal) | 6a. Referencia positiva (cand. presidencial)
TW_26188,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_18426,D. Otros,B. Campaña,9. Utilidad pública,2. Eventos de campaña | 6b. Referencia positiva (partido)
TW_6164,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_610,C. Politics,NA,6f. Referencia positiva (otros) | 6a. Referencia positiva (cand. presidencial),
TW_3401,C. Politics,B. Campaña,6f. Referencia positiva (otros),2. Eventos de campaña
TW_17973,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_6670,B. Campaña,C. Politics,2. Eventos de campaña,6a. Referencia positiva (cand. presidencial)
TW_7816,C. Politics,D. Otros,6a. Referencia positiva (cand. presidencial),8. Interacción con usuarios
FB_4671,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_14156,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_15115,D. Otros,B. Campaña,N/A (imposible de determinar),4. Endorsements
TW_12548,D. Otros,C. Politics,8. Interacción con usuarios,5a. Ataque (personal)
FB_8710,A. Programático,D. Otros,1a. Programática - Postura,N/A (imposible de determinar)
TW_7411,D. Otros,D. Otros,7a. Personal (trivial),9. Utilidad pública
TW_15587,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
TW_1295,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_4560,B. Campaña,B. Campaña,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial)
TW_2167,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_25970,A. Programático,D. Otros,1b. Programática - Propuesta | 8. Interacción con usuarios,8. Interacción con usuarios
FB_5363,B. Campaña,C. Politics,2. Eventos de campaña,6b. Referencia positiva (partido)
TW_6611,D. Otros,D. Otros,8. Interacción con usuarios | 9. Utilidad pública,8. Interacción con usuarios
FB_8122,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_8197,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_21828,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña
TW_6088,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
FB_4024,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura | 1b. Programática - Propuesta
TW_1315,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
TW_3919,D. Otros,B. Campaña,7b. Personal (aptitudes),7b. Personal (aptitudes)
TW_23697,B. Campaña,C. Politics,2. Eventos de campaña,6a. Referencia positiva (cand. presidencial)
TW_20195,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_15397,B. Campaña,C. Politics,4. Endorsements,6e. Referencia positiva (comp. lista)
FB_9512,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_8207,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_27085,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_17848,D. Otros,D. Otros,8. Interacción con usuarios | 6a. Referencia positiva (cand. presidencial),8. Interacción con usuarios
TW_18229,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios | 1a. Programática - Postura
TW_19789,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_8988,D. Otros,B. Campaña,10. Aparición en medios,2. Eventos de campaña
TW_26905,B. Campaña,C. Politics,2. Eventos de campaña,6c. Referencia positiva (coalición)
TW_5118,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_27317,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_17604,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_19737,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_2693,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_7572,C. Politics,C. Politics,6e. Referencia positiva (comp. lista) | 6b. Referencia positiva (partido),6b. Referencia positiva (partido)
TW_1851,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_18803,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial) | 5a. Ataque (personal),5a. Ataque (personal)
TW_27150,D. Otros,D. Otros,7a. Personal (trivial),8. Interacción con usuarios
FB_1106,A. Programático,B. Campaña,1b. Programática - Propuesta,2. Eventos de campaña
TW_5690,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_10191,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_19493,C. Politics,C. Politics,5a. Ataque (personal),6a. Referencia positiva (cand. presidencial)
FB_641,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements | 6f. Referencia positiva (otros)
FB_7718,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
FB_9518,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_9739,A. Programático,A. Programático,1b. Programática - Propuesta,1b. Programática - Propuesta
FB_2982,A. Programático,D. Otros,1a. Programática - Postura,9. Utilidad pública
TW_9092,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_16640,D. Otros,B. Campaña,7a. Personal (trivial),7b. Personal (aptitudes)
TW_1730,C. Politics,D. Otros,5c. Ataque (otros),9. Utilidad pública
FB_1524,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_23657,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña | 1a. Programática - Postura
TW_12969,A. Programático,C. Politics,1a. Programática - Postura,6f. Referencia positiva (otros)
TW_24490,A. Programático,C. Politics,1a. Programática - Postura | 8. Interacción con usuarios,5c. Ataque (otros)
TW_191,D. Otros,C. Politics,8. Interacción con usuarios,6a. Referencia positiva (cand. presidencial)
TW_7101,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_27037,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_2393,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
FB_6279,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_24970,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_23290,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_2193,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_26630,D. Otros,NA,8. Interacción con usuarios,
TW_3618,C. Politics,D. Otros,4. Endorsements,4. Endorsements
TW_5645,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_5734,D. Otros,D. Otros,8. Interacción con usuarios,9. Utilidad pública
TW_5558,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_11625,C. Politics,C. Politics,6b. Referencia positiva (partido),6b. Referencia positiva (partido)
FB_8478,B. Campaña,D. Otros,3. Movilización de recursos,7a. Personal (trivial)
TW_22451,A. Programático,C. Politics,1a. Programática - Postura,9. Utilidad pública
FB_1275,NA,B. Campaña,,2. Eventos de campaña | 1a. Programática - Postura
TW_1225,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_6028,D. Otros,B. Campaña,9. Utilidad pública | 1a. Programática - Postura,2. Eventos de campaña
TW_8306,A. Programático,NA,1a. Programática - Postura,
FB_8643,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_10524,C. Politics,C. Politics,5b. Ataque (global),5b. Ataque (global)
TW_24447,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_7412,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura
TW_13689,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_5975,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_19606,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_16008,D. Otros,C. Politics,6f. Referencia positiva (otros),6f. Referencia positiva (otros)
TW_18109,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_17324,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
TW_2048,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 8. Interacción con usuarios
TW_6506,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_23946,B. Campaña,B. Campaña,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
TW_20724,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_3169,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_14638,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_13989,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_71,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_8571,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements
TW_3164,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_8151,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
TW_16135,D. Otros,D. Otros,9. Utilidad pública | 6f. Referencia positiva (otros),9. Utilidad pública
TW_14825,B. Campaña,C. Politics,3. Movilización de recursos | 6a. Referencia positiva (cand. presidencial),6b. Referencia positiva (partido)
TW_6652,D. Otros,D. Otros,7b. Personal (aptitudes),8. Interacción con usuarios | 7b. Personal (aptitudes)
TW_14297,A. Programático,C. Politics,1a. Programática - Postura | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_6745,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
FB_322,B. Campaña,A. Programático,2. Eventos de campaña,1a. Programática - Postura
TW_22230,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_20572,C. Politics,C. Politics,6d. Referencia positiva (gobierno),6d. Referencia positiva (gobierno)
TW_24040,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_11123,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
TW_19422,B. Campaña,C. Politics,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_8217,D. Otros,A. Programático,7a. Personal (trivial),1a. Programática - Postura
TW_15788,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
FB_2767,A. Programático,B. Campaña,1a. Programática - Postura | 6c. Referencia positiva (coalición),2. Eventos de campaña
TW_15965,C. Politics,C. Politics,6b. Referencia positiva (partido),4. Endorsements
TW_4385,C. Politics,C. Politics,5b. Ataque (global),5c. Ataque (otros)
TW_16397,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_2772,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 3. Movilización de recursos
TW_23512,B. Campaña,B. Campaña,5b. Ataque (global) | 7b. Personal (aptitudes),3. Movilización de recursos
FB_4220,A. Programático,A. Programático,1b. Programática - Propuesta,1b. Programática - Propuesta
TW_23796,B. Campaña,D. Otros,3. Movilización de recursos,8. Interacción con usuarios
TW_23815,B. Campaña,C. Politics,3. Movilización de recursos | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_22594,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_14879,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1a. Programática - Postura
FB_5409,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_5979,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_20734,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements | 6a. Referencia positiva (cand. presidencial)
TW_11195,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_8358,A. Programático,D. Otros,1a. Programática - Postura,9. Utilidad pública
TW_12396,B. Campaña,B. Campaña,3. Movilización de recursos,6a. Referencia positiva (cand. presidencial)
FB_1125,D. Otros,B. Campaña,9. Utilidad pública,2. Eventos de campaña
TW_15042,D. Otros,D. Otros,N/A (imposible de determinar),7a. Personal (trivial)
TW_17571,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
TW_3720,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_18965,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_12981,A. Programático,C. Politics,1a. Programática - Postura,5c. Ataque (otros)
TW_17019,D. Otros,D. Otros,N/A (imposible de determinar),N/A (imposible de determinar)
FB_7971,D. Otros,B. Campaña,7a. Personal (trivial) | 6f. Referencia positiva (otros),2. Eventos de campaña
TW_712,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_11455,A. Programático,D. Otros,1a. Programática - Postura | 3. Movilización de recursos,7a. Personal (trivial)
TW_7355,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_680,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_9655,A. Programático,C. Politics,1b. Programática - Propuesta,6b. Referencia positiva (partido)
FB_9394,B. Campaña,B. Campaña,4. Endorsements,3. Movilización de recursos
TW_25267,B. Campaña,NA,2. Eventos de campaña,
TW_8513,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_24580,B. Campaña,B. Campaña,2. Eventos de campaña | 3. Movilización de recursos,2. Eventos de campaña
TW_23903,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial) | 1b. Programática - Propuesta,1a. Programática - Postura
TW_2715,D. Otros,B. Campaña,10. Aparición en medios,2. Eventos de campaña
TW_838,A. Programático,C. Politics,1a. Programática - Postura,6a. Referencia positiva (cand. presidencial) | 1a. Programática - Postura
TW_13604,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial)
FB_2821,A. Programático,D. Otros,1a. Programática - Postura,9. Utilidad pública | 1a. Programática - Postura
TW_9857,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_21960,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
FB_6801,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_10888,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_15411,B. Campaña,A. Programático,3. Movilización de recursos,1a. Programática - Postura
TW_21938,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña
TW_17086,B. Campaña,D. Otros,3. Movilización de recursos,N/A (imposible de determinar)
TW_328,C. Politics,C. Politics,6f. Referencia positiva (otros),6a. Referencia positiva (cand. presidencial)
FB_7326,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_8680,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_12477,C. Politics,D. Otros,5a. Ataque (personal),8. Interacción con usuarios
TW_15842,A. Programático,D. Otros,1a. Programática - Postura,8. Interacción con usuarios
TW_16115,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_13701,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
FB_4970,B. Campaña,D. Otros,4. Endorsements,N/A (imposible de determinar)
TW_16548,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_17148,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
FB_9122,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_7431,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_18230,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_1567,C. Politics,C. Politics,6c. Referencia positiva (coalición),6e. Referencia positiva (comp. lista)
TW_7377,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_15913,D. Otros,A. Programático,6f. Referencia positiva (otros) | 1a. Programática - Postura,1a. Programática - Postura
TW_6040,C. Politics,B. Campaña,6b. Referencia positiva (partido),2. Eventos de campaña
FB_5301,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements
TW_1578,D. Otros,B. Campaña,4. Endorsements,3. Movilización de recursos
FB_4805,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
FB_908,A. Programático,B. Campaña,1a. Programática - Postura,3. Movilización de recursos
TW_10901,C. Politics,C. Politics,5a. Ataque (personal),6a. Referencia positiva (cand. presidencial) | 5a. Ataque (personal)
TW_4419,D. Otros,A. Programático,7a. Personal (trivial),1a. Programática - Postura
FB_9242,C. Politics,C. Politics,6f. Referencia positiva (otros),6f. Referencia positiva (otros) | 5c. Ataque (otros)
TW_17396,B. Campaña,B. Campaña,4. Endorsements | 3. Movilización de recursos,2. Eventos de campaña
TW_3746,A. Programático,B. Campaña,1a. Programática - Postura,3. Movilización de recursos
TW_26049,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_27011,D. Otros,C. Politics,8. Interacción con usuarios,5b. Ataque (global)
TW_26004,D. Otros,D. Otros,8. Interacción con usuarios | 9. Utilidad pública,9. Utilidad pública | 1a. Programática - Postura
FB_909,NA,B. Campaña,,4. Endorsements
TW_11901,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6c. Referencia positiva (coalición)
FB_6604,B. Campaña,B. Campaña,3. Movilización de recursos | 2. Eventos de campaña,3. Movilización de recursos
TW_551,B. Campaña,C. Politics,2. Eventos de campaña,6a. Referencia positiva (cand. presidencial)
FB_4300,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
TW_22681,A. Programático,D. Otros,1a. Programática - Postura,N/A (imposible de determinar)
TW_9573,D. Otros,B. Campaña,9. Utilidad pública,2. Eventos de campaña
FB_9137,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_19486,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6b. Referencia positiva (partido)
TW_17667,D. Otros,D. Otros,8. Interacción con usuarios,7a. Personal (trivial)
TW_25454,D. Otros,D. Otros,9. Utilidad pública,7a. Personal (trivial)
TW_13661,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_18156,B. Campaña,C. Politics,4. Endorsements,4. Endorsements | 7b. Personal (aptitudes)
TW_17563,C. Politics,D. Otros,6f. Referencia positiva (otros),8. Interacción con usuarios
TW_20634,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1a. Programática - Postura | 6a. Referencia positiva (cand. presidencial)
TW_10586,B. Campaña,C. Politics,3. Movilización de recursos,6a. Referencia positiva (cand. presidencial)
TW_7691,B. Campaña,C. Politics,4. Endorsements,4. Endorsements
TW_15640,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_6893,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_21985,C. Politics,C. Politics,5b. Ataque (global),5b. Ataque (global)
TW_22222,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_7018,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_24488,C. Politics,D. Otros,5b. Ataque (global),8. Interacción con usuarios | 5a. Ataque (personal)
TW_6402,B. Campaña,B. Campaña,10. Aparición en medios,4. Endorsements
TW_5027,C. Politics,C. Politics,5b. Ataque (global) | 8. Interacción con usuarios,5c. Ataque (otros)
TW_15550,D. Otros,D. Otros,10. Aparición en medios | 8. Interacción con usuarios,10. Aparición en medios
TW_19242,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_19164,C. Politics,C. Politics,5a. Ataque (personal) | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_1225,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_2176,D. Otros,NA,N/A (imposible de determinar),N/A (imposible de determinar)
TW_4413,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_9252,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_13263,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura
TW_17198,B. Campaña,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_16120,D. Otros,D. Otros,9. Utilidad pública,8. Interacción con usuarios | 6f. Referencia positiva (otros)
TW_17401,A. Programático,A. Programático,1b. Programática - Propuesta | 8. Interacción con usuarios,1b. Programática - Propuesta
TW_12710,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_21096,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_12522,B. Campaña,D. Otros,6b. Referencia positiva (partido),8. Interacción con usuarios
FB_5044,A. Programático,A. Programático,1a. Programática - Postura | 10. Aparición en medios,1a. Programática - Postura | 10. Aparición en medios
FB_243,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_19709,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
FB_9140,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_18897,B. Campaña,B. Campaña,2. Eventos de campaña | 1a. Programática - Postura,2. Eventos de campaña | 1a. Programática - Postura
TW_19841,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_8771,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
TW_25610,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_2865,B. Campaña,A. Programático,3. Movilización de recursos,1a. Programática - Postura | 3. Movilización de recursos
TW_18245,C. Politics,C. Politics,4. Endorsements,4. Endorsements
TW_5788,D. Otros,D. Otros,8. Interacción con usuarios | 5a. Ataque (personal),8. Interacción con usuarios
FB_4825,A. Programático,B. Campaña,1a. Programática - Postura,3. Movilización de recursos
FB_1371,C. Politics,C. Politics,5b. Ataque (global) | 1a. Programática - Postura,5a. Ataque (personal)
FB_6497,A. Programático,A. Programático,1b. Programática - Propuesta,1b. Programática - Propuesta
TW_12393,C. Politics,D. Otros,6e. Referencia positiva (comp. lista),9. Utilidad pública
TW_22513,B. Campaña,C. Politics,4. Endorsements,4. Endorsements
FB_9380,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial) | 1a. Programática - Postura
TW_25229,D. Otros,D. Otros,9. Utilidad pública | 6f. Referencia positiva (otros),7a. Personal (trivial)
TW_13387,D. Otros,B. Campaña,N/A (imposible de determinar),10. Aparición en medios
TW_11658,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_10055,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_825,C. Politics,C. Politics,6f. Referencia positiva (otros),6f. Referencia positiva (otros)
FB_4512,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_5787,D. Otros,D. Otros,7b. Personal (aptitudes),7b. Personal (aptitudes)
TW_3324,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
FB_2996,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_14728,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_7624,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1a. Programática - Postura
TW_17133,C. Politics,D. Otros,4. Endorsements,4. Endorsements
TW_15782,A. Programático,C. Politics,1a. Programática - Postura | 5b. Ataque (global),5b. Ataque (global)
FB_3669,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta | 6e. Referencia positiva (comp. lista)
TW_7899,D. Otros,D. Otros,8. Interacción con usuarios,N/A (imposible de determinar)
TW_4827,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
FB_9730,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_11406,D. Otros,D. Otros,7a. Personal (trivial),9. Utilidad pública
TW_8798,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
FB_9201,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_16577,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_7385,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_11707,A. Programático,C. Politics,1b. Programática - Propuesta,6a. Referencia positiva (cand. presidencial)
TW_7282,C. Politics,C. Politics,6c. Referencia positiva (coalición),6a. Referencia positiva (cand. presidencial)
TW_3245,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_27032,D. Otros,C. Politics,8. Interacción con usuarios,5a. Ataque (personal)
FB_7810,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
TW_19532,NA,D. Otros,N/A (imposible de determinar),8. Interacción con usuarios
FB_5863,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_16169,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_5068,D. Otros,A. Programático,N/A (imposible de determinar),1a. Programática - Postura
TW_7576,D. Otros,B. Campaña,10. Aparición en medios,2. Eventos de campaña
TW_22635,B. Campaña,D. Otros,2. Eventos de campaña,10. Aparición en medios
